,logreg_categoria,news_url_absolute
10916,macroeconomia,https://acento.com.do/economia/breve-radiografia-de-la-reserva-federal-9088782.html
13394,macroeconomia,https://www.perfil.com/noticias/actualidad/manzur-optimista-con-el-dolar-soja-esperamos-que-la-liquidacion-arranque-hoy.phtml
202,macroeconomia,https://www.semana.com/economia/macroeconomia/articulo/lo-que-puede-venir-para-colombia-por-la-subida-de-tasas-de-interes-de-la-fed-en-ee-uu/202227/
11597,macroeconomia,https://www.elfinancierocr.com/finanzas/cinco-formas-en-las-que-la-inflacion-en-estados/ZADIP6KPH5GVVD2ABQA7GUJSC4/story/
19345,macroeconomia,https://www.larepublica.co/globoeconomia/banco-central-europeo-sube-tasas-de-interes-a-0-50-el-primer-aumento-en-11-anos-3407606
18538,macroeconomia,https://www.epe.es/es/economia/20220807/euro-claves-entender-moneda-14241285
21254,macroeconomia,https://www.bloomberglinea.com/2022/07/26/bcra-lanza-instrumento-para-que-productores-argentinos-vendan-su-cosecha-de-soja/
1626,macroeconomia,https://www.eldiario.com.co/noticias/economia/cuba-busca-afrontar-su-crisis-economica-con-dolares-y-divisas-extranjeras/
575,macroeconomia,https://www.agrositio.com.ar/noticia/224310-exportadores-y-economistas-de-latinoamerica-analizan-subida-de-la-fed-sobre-las-tasas-de-interes
5235,macroeconomia,https://www.alertatolima.com/noticias/politica/minhacienda-entrante-asegura-que-reforma-tributaria-no-tocara-canasta-familiar
1515,macroeconomia,https://tramas.ar/2022/07/28/ante-la-corrida-cambiaria-actuar-antes-del-diluvio/
3513,macroeconomia,https://www.portalfruticola.com/noticias/2022/07/29/exportadores-y-economistas-de-latinoamerica-analizan-subida-de-la-fed-sobre-las-tasas-de-interes/
18391,macroeconomia,https://www.semana.com/economia/capsulas/articulo/moneda-de-ucrania-se-devalua-un-25-tras-invasion-rusa-banco-nacional-de-ucrania/202215/
8267,macroeconomia,https://www.forbesargentina.com/money/por-dolar-fuerte-arma-doble-filo-n19677
4156,macroeconomia,https://rufinoweb.com.ar/el-estado-de-regular-a-malo-en-el-trigo-alcanza-un-35-mientras-que-el-maiz-tardio-gana-superficie-para-la-proxima-campana/
15161,macroeconomia,https://www.perfil.com/noticias/politica/la-ley-de-alquileres-sigue-en-la-agenda-de-diputados.phtml
9340,macroeconomia,https://www.infobae.com/economia/2022/07/19/sin-reservas-liquidas-para-el-banco-central-regular-el-contado-con-liquidacion-es-una-batalla-perdida/
3772,macroeconomia,https://www.elcolombiano.com/negocios/dolar-bajo-37-el-miercoles-10-de-octubre-GP18352455
21526,macroeconomia,https://viapais.com.ar/campo/el-dolar-soja-para-especuladores-no-para-productores/
1970,macroeconomia,https://www.swissinfo.ch/spa/fmi-alemania_el-fmi-espera-gran-impacto-econ%C3%B3mico-en-alemania-si-hay-corte-del-gas-ruso/47768298
6009,macroeconomia,https://www.semana.com/economia/macroeconomia/articulo/una-reforma-tributaria-de-5-o-6-puntos-del-pib-es-inviable-fedesarrollo/202222/
19951,macroeconomia,https://www.bloomberglinea.com/2022/07/26/china-intenta-infiltrarse-en-la-fed-dice-senador-de-alto-rango-de-eeuu/
13692,macroeconomia,https://www.las2orillas.co/tendremos-otra-vez-dolar-a-2000/
17349,macroeconomia,https://eleconomista.com.ar/economia/un-primer-punto-acuerdo-desarmar-bimonetarismo-n55049
21043,macroeconomia,https://marketdata.com.py/noticias/congreso-dilata-cambio-de-via-de-financiamiento-y-pago-por-obras-se-atrasa-84421/
11735,macroeconomia,https://www.forbesargentina.com/money/cedears-puede-gobierno-meter-mano-bajar-dolar-n19037
17259,macroeconomia,https://www.noticiasfides.com/opinion/german-molina-diaz/blindada-preparada-gatillar-permear-y-modular
11654,macroeconomia,https://www.bloomberglinea.com/2022/08/01/cannabis-de-uso-adulto-las-razones-por-las-que-ahora-si-se-regularia-en-colombia/
11563,macroeconomia,https://www.cronista.com/negocios/empresarios-bodegueros-piden-dolar-vino-para-exportar-y-quita-de-retenciones/
