,news_id,news_url_absolute,news_init_date,news_final_date,news_title,news_text_content,Categoria,Similitud
9266,news45533,https://www.larepublica.net/noticia/banco-nacional-invierte-377-millones-en-programas-de-sostenibilidad,2022-07-15,2022-07-30,Banco Nacional negocio $377 millones para financiar proyectos con criterios sostenibles,"Con una inversion de $377 millones , el Banco Nacional espera financiar una serie de proyectos que promueven el bienestar social, la adaptacion al cambio climatico y el desarrollo local para los proximos cuatro anos, segun el Reporte de Sostenibilidad 2021, que presento recientemente la entidad financiera. ""El diseno de este reporte esta basado en su contribucion al cumplimiento de las metas de los Objetivos de Desarrollo Sostenible, los principios del Pacto Global de las Naciones Unidas, los Principios de Banca Responsable, las politicas de la Organizacion para la Cooperacion y el Desarrollo Economicos y el Plan Nacional de Desarrollo"", aseguro Silvia Chaves, jefa de Sostenibilidad del Banco Nacional . Estos son los principales logros sostenibles de la gestion del conglomerado, una nueva forma de hacer banca, sustentada en compromisos de sostenibilidad, impulsando compromisos prioritarios con la democratizacion de la economia, la descarbonizacion de la economia, las finanzas sostenibles, los derechos humanos y la gobernanza. ",sostenibilidad,0.7395557333527589
16059,news71823,https://www.estadiodeportivo.com/estar-al-dia/helvetia-seguros-publica-memoria-sostenibilidad-2021-20220805-402879.html,2022-07-30,2022-08-14,Helvetia Seguros publica su Memoria de Sostenibilidad 2021,"La Memoria de Sostenibilidad 2021 de Helvetia Seguros , que ya alcanza su 14a edicion , ha sido elaborada conforme a los estandares del Global Reporting Initiative (GRI). Esto supone una descripcion rigurosa y detallada de cada una de las acciones que la compania ha llevado a cabo en 2021 en relacion con los seis pilares en los que se asienta la Estrategia de Sostenibilidad 2025 del Grupo Helvetia : Cultura y gobernanza de la sostenibilidad; Gestion de riesgos de sostenibilidad; Cambio climatico; Inversion responsable; Productos sostenibles y suscripcion; y Sostenibilidad en el lugar de trabajo. Helvetia Seguros , consciente de que el cambio climatico es uno de los grandes desafios globales a los que deben hacer frente los gobiernos, las empresas privadas y la sociedad, en 2021 continuo trabajando para minimizar el impacto que tienen sus acciones en el medioambiente. Su objetivo es reducir sus emisiones de CO2 a la atmosfera a cero neto para el ano 2050. Ademas, la aseguradora esta impulsando la integracion de los aspectos ESG (siglas en ingles de Ambientales, Sociales y de Gobernanza) en la compania, centrandose tanto en las soluciones de seguros como en la prevision de riesgos, cumpliendo de este modo con una de las principales medidas de su Estrategia de Sostenibilidad 2025. Asi, el ano pasado consiguio incrementar el volumen de primas de sus productos sostenibles e introdujo medidas para vigilar los riesgos ESG que pueden afectar al correcto desarrollo de su negocio. Una de las acciones mas significativas en materia de sostenibilidad que la entidad llevo a cabo en 2021 fue la creacion del Grupo de Trabajo ESG , en el que estan representadas aquellas areas de la compania que participan de una forma mas directa en la Estrategia de Sostenibilidad. En este grupo se realiza un seguimiento de todos los temas materiales de sostenibilidad establecidos y se da cumplimiento a toda la normativa legal que se le aplica a Helvetia Seguros en este ambito. La creacion y el trabajo de este grupo ha sido un paso fundamental para Helvetia Compania Suiza S. A. de Seguros y Reaseguros conseguir que la sostenibilidad se trabaje de una forma transversal y forme parte de la cultura de la compania. La memoria se encuentra disponible en la web de Helvetia Seguros, en formato pdf descargable . ",sostenibilidad,0.7379767201950735
14398,news65587,https://www.salta.gob.ar/prensa/noticias/pymes-saltenias-recibieron-fondos-para-desarrollar-proyectos-tecnologicos-83663,2022-07-15,2022-07-30,Pymes saltenas recibieron fondos para desarrollar proyectos ...,"Es la primera vez que en Salta se cuenta con una linea propia de aportes no reembolsables de esta naturaleza, dirigida al sector del conocimiento y la innovacion. La misma fue disenada y co-financiada desde el Ministerio de Educacion, Cultura, Ciencia y Tecnologia mediante la Agencia de Promocion Cientifica e Innovacion Tecnologica en conjunto con la Agencia Nacional I+D+i. Con una inversion de $37 millones el Fondo Salteno para Potenciar la Economia del Conocimiento y la Tecnologia Agroindustrial permitira que siete PyMes puedan desarrollar y acelerar sus proyectos de innovacion: Mediterraneo- Sistema de Gestion Empresarial On-line, a cargo de Ricardo Hernan Mercado Cardenas; Datacion geocronologica por U-PB en carbonatos, a cargo de La.Te Andes; Desarrollo de cultivos microbianos para la fermentacion de poroto y obtencion de productos mejorados para la industria de los alimentos plant- based, a cargo de Food 4 You S.A.; Sistema de Monitoreo Climatico y Alerta Incendio Forestales, a cargo de AntaNet S.A.; Economia circular, agregado de valor y cuidado del medio ambiente en el reciclado de subproductos de industria avicola La Florinda, a cargo de La Florinda S.A.; Portal Bigtracer, a cargo de Bigapps y Desarrollo de subsistemas para prototipo de robot autonomo, a cargo de Stradot Latam. Los beneficiarios recibieron la adjudicacion de este fondo a finales de junio de la mano del gobernador Gustavo Saenz y los ministros de Ciencia, Tecnologia e Innovacion de Nacion, Daniel Filmus, y de Educacion, Cultura, Ciencia y Tecnologia de Salta, Matias Canepa. Estuvieron presentes ademas el Director de la Agencia Nacional para la Promocion de la Investigacion, el Desarrollo Tecnologico y la Innovacion, Fernando Peirano y el director de la Agencia de Promocion Cientifica e Innovacion Tecnologica de la Provincia, Martin Guemes. Los Gobiernos Nacional y Provincial ya anunciaron las lineas generales sobre la segunda convocatoria del Fondo que amplia la inversion a $120 millones, que sera cofinanciada entre el Gobierno de Salta, mediante la Agencia Provincial, con la Agencia I+D+i. Esta herramienta es parte de un conjunto de medidas que apunta a potenciar la Economia del Conocimiento en Salta con miras a la exportacion de servicios y la generacion de empleo, como lo son la ley de promocion de la Economia del Conocimiento mediante la cual se reducen los impuestos al sector o el programa 1.000 programadores que apunta a generar talento para que pueda ser incorporado por las empresas tecnologicas que se desarrollen en Salta, entre otras iniciativas. Sitio web desarrollado por la Secretaria de Prensa y Comunicacion Webmaster ",innovacion,0.7357300494111366
11589,news54740,https://www.eleconomista.es/transportes-turismo/noticias/11883385/07/22/paradores-presenta-un-plan-de-sostenibilidad-enfocado-al-turismo-sostenible.html,2022-07-15,2022-07-30,Paradores lanza un plan de sostenibilidad para promover el turismo neutro en carbono," Paradores ha presentado a los diferentes organos de la empresa un Plan de Sostenibilidad que se extiende hasta 2024, que sera una de las palancas transversales de la estrategia de Paradores que la empresa esta elaborando para el periodo 2023-2026 y que esta previsto salga a la luz a finales de este ano. El Plan contempla inversiones por importe de 30 millones euros en el capitulo ambiental con el objetivo de alcanzar la neutralidad en carbono en el 2030 , asi como en proyectos sociales y de gobernanza. El presidente de Paradores, Pedro Saura , ha afirmado que ""en estos tiempos no cabe hablar de sostenibilidad en terminos de modas o mercadotecnia"", sino que es ""condicion necesaria para un turismo de calidad y competitivo"" . Con el Plan, la compania pretende seguir liderando la transformacion del sector de turismo hacia un modelo mas sostenible. Los proyectos incluidos en el Plan incorporan las tendencias, mejores practicas empresariales y nuevas normativas en los tres ambitos de la sostenibilidad (medioambiental, social y gobernanza) con el fin de reforzar la orientacion de Paradores en su politica de compatibilizar la proteccion del medioambiente y la biodiversidad, el desarrollo social y la buena gestion de los recursos con la rentabilidad empresarial. El Plan de Sostenibilidad, gracias a la incorporacion de las nuevas tendencias, desafios y normativa, y a la financiacion de los fondos Next Generation, significa un importante avance en las politicas de responsabilidad corporativa iniciadas por la compania en 2018. ",sostenibilidad,0.7349302817844572
8053,news40867,https://www.caixabank.com/comunicacion/noticia/caixabank-crea-la-nueva-direccion-de-riesgo-climatico_es.html?id=43611,2022-07-15,2022-07-30,CaixaBank crea la nueva Direccion de Riesgo Climatico,"* La nueva direccion se encargara de coordinar el despliegue de la gestion y analisis de los riesgos climaticos y medioambientales de acuerdo con el creciente marco regulatorio, las recomendaciones del Task Force on Climate- related Financial Disclosures (TCFD) y las directrices sobre la presentacion de informes no financieros de la Comision Europea. * La Direccion de Sostenibilidad cuenta actualmente con cinco grandes areas, como son Estrategia y Seguimiento de Sostenibilidad, dirigida por Severiano Solana; Riesgos de Sostenibilidad, liderada por Xavier Fortuny; Coordinacion de Productos y Negocios Sostenibles, encabezada por Alvaro Colino; Comunicacion ESG, dirigida por Javier Tome, y Riesgo Climatico, a cargo de Stefan Rodia Garcia-Petit. * CaixaBank ha decidido crear esta nueva direccion para impulsar el compromiso con la descarbonizacion de la propia actividad y sus clientes a traves de un modelo de negocio y gestion sostenible que tiene el riesgo climatico incorporado en su analisis de las operaciones. Tras la fusion de CaixaBank y Bankia, la entidad financiera lider en Espana decidio apostar por la sostenibilidad como elemento imprescindible en su evolucion. Tanto es asi que, dentro de la Direccion de Sostenibilidad, dirigida por Eugenio Solla, CaixaBank acaba de crear la nueva Direccion de Riesgo Climatico. Este cambio en la estructura refuerza la apuesta del banco por la sostenibilidad, que es uno de los pilares del nuevo Plan Estrategico 2022-2024, en beneficio del desarrollo economico y social sostenibles. La Direccion de Riesgo Climatico se encargara de coordinar el despliegue de la gestion y analisis de los riesgos climaticos y medioambientales de acuerdo con el creciente marco regulatorio, las recomendaciones del Task Force on Climate-related Financial Disclosures (TCFD) y las directrices sobre la presentacion de informes no financieros de la Comision Europea. De esta manera, la nueva direccion de Riesgo Climatico, a cargo de Stefan Rodia Garcia-Petit, se situa al mismo nivel que las otras cuatro ya existentes, que son Estrategia y Seguimiento de Sostenibilidad, dirigida por Severiano Solana; Riesgos de Sostenibilidad, liderada por Xavier Fortuny; Coordinacion de Productos y Negocios Sostenibles, encabezada por Alvaro Colino, y Comunicacion ESG, dirigida por Javier Tome. Actualmente, la Direccion de Sostenibilidad cuenta con 30 profesionales que trabajan para impulsar la sostenibilidad de manera transversal con todas las areas del banco. Descarbonizacion como elemento central de la nueva direccion La sostenibilidad esta transformando la cultura empresarial y los propios modelos de negocio de las companias. De hecho, es una palanca transformadora de la economia, a traves del equilibrio social y el cuidado medioambiental y climatico. Por este motivo, en CaixaBank la sostenibilidad ha adquirido un papel protagonista transversal que esta vinculado al negocio y se va desplegando a toda la actividad y productos y servicios del banco. Uno de los elementos centrales e inmediatos para acercar a la entidad a los objetivos marcados por Naciones Unidas es el trabajo por la descarbonizacion, proceso progresivo e imprescindible para la reduccion de las emisiones de CO2 hasta conseguir que sean netas nulas en 2050. Para dar respuesta al desafio global que supone la lucha contra el cambio climatico, la descarbonizacion implica multitud de cambios de habito de consumo diarios. Las principales implicadas son las empresas, que tienen ante si un reto de transformacion de los modelos de negocio para adaptar su actividad desarrollando modelos neutros en carbono. Para alcanzar este objetivo se han creado y adquirido diferentes compromisos internacionales, como la 'Carrera hacia las emisiones cero', de Naciones Unidas, y alianzas empresariales, entre las que destaca la Net Zero Banking Alliance , de la que CaixaBank es miembro fundador, que aceleran este impulso. Ante este escenario, CaixaBank ha apostado por asumir su responsabilidad de acompanar a sus clientes desarrollando estrategias ambientales y climaticas complejas que requieren grandes inyecciones de capital, gracias a su papel protagonista en la canalizacion de capital y de recursos economicos en Espana, que da un especial protagonismo a la entidad financiera para reorientar la financiacion y la inversion con una finalidad sostenible. Este asesoramiento tambien establece restricciones a la financiacion de sectores intensivos en emisiones de carbono y al cumplimiento de determinadas condiciones, como la existencia de objetivos concretos y alcanzables de descarbonizacion alineados con el Acuerdo de Paris. No obstante, se podran financiar excepcionalmente actividades en sectores de determinados paises en los que la transicion energetica pueda resultar particularmente compleja o tener un impacto social adverso significativo. Por todo ello, CaixaBank ha decidido crear una nueva direccion de riesgo climatico, que impulsara el compromiso con la descarbonizacion de la propia actividad y sus clientes a traves de un modelo de negocio y gestion sostenible que tiene el riesgo climatico incorporado en su analisis de clientes y operaciones. Ademas de afrontar este reto global, supone una extraordinaria oportunidad global de negocio y de crecimiento economico. Segun la Agencia Internacional de Energias Renovables, la transicion a energias renovables puede suponer mas de 130 billones de dolares de inversion a 2050 para alcanzar los objetivos net zero . CaixaBank, referente europeo en sostenibilidad Las iniciativas de CaixaBank en sostenibilidad se centran en impulsar la transicion energetica de las empresas y del conjunto de la sociedad, mediante, entre otros, el desarrollo de soluciones para particulares con foco en movilidad y vivienda sostenible, y el fomento de las inversiones con criterios ASG (ambientales, sociales y de gobernanza). En el marco del nuevo Plan Estrategico 2022-2024, CaixaBank tiene como objetivo movilizar 64.000 millones de euros en financiacion sostenible, a traves del impulso de varias iniciativas centradas en la oferta de productos, el asesoramiento ASG, la concienciacion y la formacion. CaixaBank es la entidad lider en financiacion sostenible en Europa durante el primer semestre de 2022, segun la clasificacion de Refinitiv , que situa al banco en la primera posicion del ranking EMEA Top Tier Green & ESG-Linked Loans . ",sostenibilidad,0.7338402707154904
10155,news49265,https://centrodeinformacion.manizales.gov.co/manizales-es-reconocida-como-territorio-stem-por-la-aplicacion-de-tecnologia-e-innovacion-en-los-salones-de-clase/,2022-07-30,2022-08-14,Manizales es reconocida como Territorio STEM + por la ...,"* Manizales fue elegida como Territorio STEM + por parte del Ministerio de Educacion, por la aplicacion de ciencia, tecnologia e innovacion en las aulas. Con la mision de fomentar el aprendizaje en las instituciones educativas a partir de la ciencia, tecnologia, ingenieria, matematicas e innovacion, el Ministerio de Educacion entrego un reconocimiento a 21 secretarias de educacion del pais como territorios STEM + y Manizales fue una de las seleccionadas. ""Desde la Secretaria de Educacion, con varios planteles hemos venido trabajando de manera importante con la tecnologia, robotica e innovacion, lo cual nos permite estar a la vanguardia para que los jovenes puedan tener un mejor aprendizaje"", senalo la secretaria de Educacion de Manizales, Luz Marina Giraldo Cristancho. La jefe de la cartera educativa agrego que dentro de las instituciones destacadas por su esfuerzo constante esta la Institucion Educativa Gran Colombia, que tiene dentro de sus puntos base realizar semanalmente sesiones de webinars para socializar sus avances. Sobre el particular, Marcela Muneton Montes, tutora del programa Todos a Aprender (PTA) de dicho establecimiento educativo, afirmo que desde el 2020, con las clases en casa, reforzaron las habilidades en ciencia, tecnologia, ingenieria, matematicas e innovacion. ""Potencializamos las areas fundamentales de la resolucion de problemas, pensamiento critico, comunicacion, creatividad y la colaboracion. Esta es una educacion que va a la vanguardia y que generara mejores posibilidades para todos"", explico la profesional. Es asi como a traves del Aprendizaje Basado en Proyectos (ABP), en las asignaturas que cursan los estudiantes de primaria y secundaria se fortalecen tematicas que tienen como finalidad el desarrollo sostenible en la ciudad. El siguiente paso, desde la Secretaria de Educacion y los planteles educativos, es llevar este enfoque a la formacion del ciudadano del futuro, incentivando las capacidades y habilidades de los ninos, ninas y adolescentes en un mundo que les permita desenvolverse de manera integral. Dato de interes * Este reconocimiento fue liderado por el Ministerio de Educacion, en alianza con el Parque Cientifico de Innovacion Social de la Universidad Minuto de Dios. ",innovacion,0.7298681760789046
11138,news52976,https://www.fm899.com.ar/noticias/salta-1/entregaron-fondos-para-que-pymes-saltenias-desarrollen-proyectos-tecnologicos-96869,2022-07-15,2022-07-30,Entregaron fondos para que Pymes saltenas desarrollen ...,"Es la primera vez que en Salta se cuenta con una linea propia de aportes no reembolsables de esta naturaleza, dirigida al sector del conocimiento y la innovacion. La misma fue disenada y co-financiada desde el Ministerio de Educacion, Cultura, Ciencia y Tecnologia mediante la Agencia de Promocion Cientifica e Innovacion Tecnologica en conjunto con la Agencia Nacional I+D+i. Con una inversion de $37 millones el Fondo Salteno para Potenciar la Economia del Conocimiento y la Tecnologia Agroindustrial permitira que siete PyMes puedan desarrollar y acelerar sus proyectos de innovacion: Mediterraneo- Sistema de Gestion Empresarial On-line, a cargo de Ricardo Hernan Mercado Cardenas; Datacion geocronologica por U-PB en carbonatos, a cargo de La.Te Andes; Desarrollo de cultivos microbianos para la fermentacion de poroto y obtencion de productos mejorados para la industria de los alimentos plant- based, a cargo de Food 4 You S.A.; Sistema de Monitoreo Climatico y Alerta Incendio Forestales, a cargo de AntaNet S.A.; Economia circular, agregado de valor y cuidado del medio ambiente en el reciclado de subproductos de industria avicola La Florinda, a cargo de La Florinda S.A.; Portal Bigtracer, a cargo de Bigapps y Desarrollo de subsistemas para prototipo de robot autonomo, a cargo de Stradot Latam. Los beneficiarios recibieron la adjudicacion de este fondo a finales de junio de la mano del gobernador Gustavo Saenz y los ministros de Ciencia, Tecnologia e Innovacion de Nacion, Daniel Filmus, y de Educacion, Cultura, Ciencia y Tecnologia de Salta, Matias Canepa. Los Gobiernos Nacional y Provincial ya anunciaron las lineas generales sobre la segunda convocatoria del Fondo que amplia la inversion a $120 millones, que sera cofinanciada entre el Gobierno de Salta, mediante la Agencia Provincial, con la Agencia I+D+i. Esta herramienta es parte de un conjunto de medidas que apunta a potenciar la Economia del Conocimiento en Salta con miras a la exportacion de servicios y la generacion de empleo, como lo son la ley de promocion de la Economia del Conocimiento mediante la cual se reducen los impuestos al sector o el programa 1.000 programadores que apunta a generar talento para que pueda ser incorporado por las empresas tecnologicas que se desarrollen en Salta, entre otras iniciativas. ",innovacion,0.7297719064682157
18745,news82131,https://www.elmundo.cr/costa-rica/proyecto-busca-incentivar-emprendimiento-e-innovacion-desde-las-aulas/,2022-07-15,2022-07-30,Proyecto busca incentivar emprendimiento e innovacion ...," San Jose, 20 jul (elmundo.cr) - El diputado del Partido Unidad Social Cristiana, Carlos Felipe Garcia, presento un proyecto de ley que busca que ninos, jovenes y adultos puedan crear una cultura de emprendimiento e innovacion en los diferentes espacios de aprendizaje. La iniciativa ""Ley para el Fomento de la Cultura de Emprendimiento e Innovacion"", expediente 23.240, pretende impulsar, en todos los niveles del sistema educativo, un desarrollo integral de las personas mediante el mejoramiento de sus competencias, capacidades, habilidades y destrezas. El proyecto establece que las instituciones educativas publicas y privadas, en los niveles de la educacion preescolar, educacion primaria, secundaria, tecnica o vocacional y educacion universitaria deberan incorporar en los planes curriculares objetivos, competencias, contenidos y criterios de evaluacion de la formacion orientados al desarrollo y fomento al emprendimiento innovador y el desarrollo empresarial. Ante esto, se indica que el Ministerio de Educacion Publica (MEP), en coordinacion con el Instituto Nacional de Aprendizaje (INA), y bajo la supervision del Ministerio de Economia, Industria y Comercio (MEIC), como ente rector en materia de emprendimiento, y del Ministerio de Ciencia, Innovacion, Tecnologia y Telecomunicaciones (MICITT), como ente rector en materia de innovacion y tecnologia, estableceran un programa de formacion de formadores orientados al desarrollo de la cultura para el emprendimiento, el fomento de la innovacion, la iniciativa empresarial y la creacion y desarrollo de empresas. Cabe destacar que los presupuestos para dichos proyectos seran responsabilidad del MEP y del INA, y que se podran establecer convenios con las universidades e instituciones de educacion superior para la implementacion de dichos programas. Segun el diputado socialcristiano, esto permitira la generacion de emprendimientos que impactaran de manera positiva en la generacion de ingresos por cuenta propia, el crecimiento economico y la generacion de empleos. <<Una de las principales fortalezas de nuestro pais es el talento humano. Durante la pandemia todos conocimos a algun amigo o familiar que decidio crear una pequena o mediana empresa, pero ?que pasaria si los 5 millones de costarricenses pensaramos igual? Es por eso que esta iniciativa busca otorgar habilidades y conocimientos indispensables para poder hacer realidad ideas de negocio y materializarlas en proyectos factibles>>, indico el legislador. comentarios. ",innovacion,0.7291037872313122
18678,news81887,https://www.buenaventura.gov.co/articulos/entidades-nacionales-y-locales-trabajan-en-ruta-de-implementacion-del-plan-distrital-de-ciencia-tecnologia-e-innovacion-para-el-sector-educativo,2022-07-30,2022-08-14,Entidades nacionales y locales trabajan en ruta de ...," Buenaventura, D.E., 28 julio del 2022. Se cumplio la primera jornada entre dos Ministerios (MEN - MinCiencias) con las Secretarias de Educacion, Planeacion, algunos rectores y la academia, para trabajar en la articulacion y ajustes al Plan Distrital de Ciencia, Tecnologia e Innovacion que se pondra en marcha proximamente. En desarrollo del proceso se trataron temas como: Contextualizacion del Distrito en el tema educativo, lo que se busca con el Plan, los rectores expusieron experiencias significativas realizadas en pro de innovar en el sector, se adelantaron mesas de trabajo para construir rutas de fortalecimiento a la educacion y se identificaron acciones para favorecer la investigacion en Buenaventura. ""En este momento el Distrito se esta preguntando como mejoramos las vocaciones cientificas e innovamos en los colegios, esta es una oportunidad muy grande porque estamos reunidos tres actores MinCiencias, el MEN e invitamos al Sena, la idea es juntar experiencias para mejorar herramientas educativas"", indico Clara Ocampo, directora de Vocaciones y Formacion del Ministerio de Ciencia, Tecnologia e Innovacion Por su parte, Luz Marina Hoyos, del Ministerio de Educacion, manifesto: ""Esta es una estrategia que busca a traves de la Escuela de Secretarias desarrollar una accion de fortalecimiento institucional para la gestion integral educativa, dentro de este proceso las acompanamos ahora con el Plan"". Hamington Valencia Viveros, secretario de Educacion Distrital, expreso: ""Nosotros consideramos en nuestro Plan de Desarrollo en el Horcon 4 de la Segunda Revolucion Educativa, fortalecer las capacidades territoriales en materia de ciencia, tecnologia e innovacion, producto de ese ejercicio hemos avanzado en articulacion con el MEN a traves de la Universidad EAFIT que nos ha posibilitado construir un Plan Distrital de Innovacion Educativa y con Minciencias en un convenio con la Unipacifico para fortalecer la capacidades vocacionales de los estudiantes"". Freddy Ruiz, funcionario de Planeacion Distrital explico: ""Este trabajo va enfocado en generar mesas tecnicas con expertos de alto nivel por focos, hoy estamos en el Foco de Desarrollo Humano por eso esta MinCiencias con Vocacion Cientifica, el MEN con Innovacion Educativa y los funcionarios que a nivel Distrital nos estamos pensando la educacion"". El trabajo en sinergia continuara este viernes 29 de julio en el salon 2 de Comfenalco, donde se daran a conocer las conclusiones y los procesos que se pondran en marcha para alcanzar la meta. Jefatura de Prensa y Comunicaciones Alcaldia Distrital #BuenaventuraConDignidad Gracias por su difusion ",innovacion,0.7289433849144962
20826,news90192,https://cronica.com.ec/2022/08/04/utpl-gobierno-y-redes-empresariales-suscribieron-convenio-para-establecer-centro-que-impulsara-bioemprendimientos/,2022-07-30,2022-08-14,"UTPL, gobierno y redes empresariales suscribieron convenio ...","En Guayaquil, el viernes 29 de julio, la Universidad Tecnica Particular de Loja (UTPL), la Secretaria Nacional de Educacion Superior, Ciencia y Tecnologia (SENESCYT), y el Ministerio de Ambiente, Agua y Transicion Ecologica (MAATE), con el apoyo de la Corporacion de Promocion de Exportaciones e Inversiones del Ecuador (CORPEI) y la Alianza para el Emprendimiento y la Innovacion (AEI), suscribieron un convenio para establecer el Centro de Promocion y Facilitacion de Bionegocios ""BioEmprende"". 'BioEmprende' es una iniciativa de promocion y fomento de negocios basado en el uso sustentable de los recursos naturales y que se presenta como una alternativa para el desarrollo sostenible en el pais. Durante su intervencion, Rosario de Rivas, rectora subrogante de la UTPL, agradecio al MAATE por ser parte fundamental de este convenio. ""Para todas las instituciones involucradas es de gran importancia fortalecer este centro de promocion y facilitacion de bionegocios>>, expreso la autoridad universitaria. El Centro 'BioEmprende' permitira impulsar acciones que involucren a entidades de la economia popular y solidaria; es decir, de las pequenas y medianas empresas, en el desarrollo de nuevas oportunidades de acceso a los diferentes mercados con productos y servicios alineados al cumplimiento de los Objetivos de Desarrollo Sostenible de la Agenda 2030. ""El Centro BioEmprende generara un impacto positivo a nivel nacional, con esta iniciativa el Ecuador impulsa su Transicion Ecologica, conjugando la sostenibilidad y el desarrollo productivo"", manifesto el ministro Gustavo Manrique. Por otra parte, Eduardo Egas, presidente de CORPEI, felicito al ministro por apoyar esta propuesta y destaco el impulso del Gobierno a ""las alianzas publico-privadas para generar desarrollo sostenible en beneficio del pais"". El Centro Bioemprende busca generar una red de aliados comprometidos en construir una estructura publica-privada para promover el desarrollo y fortalecimiento de negocios basados en el uso y aprovechamiento sostenible de la biodiversidad y agrobiodiversidad en el marco de la bioeconomia. ",innovacion,0.7285652693025291
