,news_id,news_url_absolute,news_init_date,news_final_date,news_title,news_text_content,Categoria,Similitud
9266,news45533,https://www.larepublica.net/noticia/banco-nacional-invierte-377-millones-en-programas-de-sostenibilidad,2022-07-15,2022-07-30,Banco Nacional negocio $377 millones para financiar proyectos con criterios sostenibles,"Con una inversion de $377 millones , el Banco Nacional espera financiar una serie de proyectos que promueven el bienestar social, la adaptacion al cambio climatico y el desarrollo local para los proximos cuatro anos, segun el Reporte de Sostenibilidad 2021, que presento recientemente la entidad financiera. ""El diseno de este reporte esta basado en su contribucion al cumplimiento de las metas de los Objetivos de Desarrollo Sostenible, los principios del Pacto Global de las Naciones Unidas, los Principios de Banca Responsable, las politicas de la Organizacion para la Cooperacion y el Desarrollo Economicos y el Plan Nacional de Desarrollo"", aseguro Silvia Chaves, jefa de Sostenibilidad del Banco Nacional . Estos son los principales logros sostenibles de la gestion del conglomerado, una nueva forma de hacer banca, sustentada en compromisos de sostenibilidad, impulsando compromisos prioritarios con la democratizacion de la economia, la descarbonizacion de la economia, las finanzas sostenibles, los derechos humanos y la gobernanza. ",sostenibilidad,0.7912100413473993
16059,news71823,https://www.estadiodeportivo.com/estar-al-dia/helvetia-seguros-publica-memoria-sostenibilidad-2021-20220805-402879.html,2022-07-30,2022-08-14,Helvetia Seguros publica su Memoria de Sostenibilidad 2021,"La Memoria de Sostenibilidad 2021 de Helvetia Seguros , que ya alcanza su 14a edicion , ha sido elaborada conforme a los estandares del Global Reporting Initiative (GRI). Esto supone una descripcion rigurosa y detallada de cada una de las acciones que la compania ha llevado a cabo en 2021 en relacion con los seis pilares en los que se asienta la Estrategia de Sostenibilidad 2025 del Grupo Helvetia : Cultura y gobernanza de la sostenibilidad; Gestion de riesgos de sostenibilidad; Cambio climatico; Inversion responsable; Productos sostenibles y suscripcion; y Sostenibilidad en el lugar de trabajo. Helvetia Seguros , consciente de que el cambio climatico es uno de los grandes desafios globales a los que deben hacer frente los gobiernos, las empresas privadas y la sociedad, en 2021 continuo trabajando para minimizar el impacto que tienen sus acciones en el medioambiente. Su objetivo es reducir sus emisiones de CO2 a la atmosfera a cero neto para el ano 2050. Ademas, la aseguradora esta impulsando la integracion de los aspectos ESG (siglas en ingles de Ambientales, Sociales y de Gobernanza) en la compania, centrandose tanto en las soluciones de seguros como en la prevision de riesgos, cumpliendo de este modo con una de las principales medidas de su Estrategia de Sostenibilidad 2025. Asi, el ano pasado consiguio incrementar el volumen de primas de sus productos sostenibles e introdujo medidas para vigilar los riesgos ESG que pueden afectar al correcto desarrollo de su negocio. Una de las acciones mas significativas en materia de sostenibilidad que la entidad llevo a cabo en 2021 fue la creacion del Grupo de Trabajo ESG , en el que estan representadas aquellas areas de la compania que participan de una forma mas directa en la Estrategia de Sostenibilidad. En este grupo se realiza un seguimiento de todos los temas materiales de sostenibilidad establecidos y se da cumplimiento a toda la normativa legal que se le aplica a Helvetia Seguros en este ambito. La creacion y el trabajo de este grupo ha sido un paso fundamental para Helvetia Compania Suiza S. A. de Seguros y Reaseguros conseguir que la sostenibilidad se trabaje de una forma transversal y forme parte de la cultura de la compania. La memoria se encuentra disponible en la web de Helvetia Seguros, en formato pdf descargable . ",sostenibilidad,0.7851651478798708
11589,news54740,https://www.eleconomista.es/transportes-turismo/noticias/11883385/07/22/paradores-presenta-un-plan-de-sostenibilidad-enfocado-al-turismo-sostenible.html,2022-07-15,2022-07-30,Paradores lanza un plan de sostenibilidad para promover el turismo neutro en carbono," Paradores ha presentado a los diferentes organos de la empresa un Plan de Sostenibilidad que se extiende hasta 2024, que sera una de las palancas transversales de la estrategia de Paradores que la empresa esta elaborando para el periodo 2023-2026 y que esta previsto salga a la luz a finales de este ano. El Plan contempla inversiones por importe de 30 millones euros en el capitulo ambiental con el objetivo de alcanzar la neutralidad en carbono en el 2030 , asi como en proyectos sociales y de gobernanza. El presidente de Paradores, Pedro Saura , ha afirmado que ""en estos tiempos no cabe hablar de sostenibilidad en terminos de modas o mercadotecnia"", sino que es ""condicion necesaria para un turismo de calidad y competitivo"" . Con el Plan, la compania pretende seguir liderando la transformacion del sector de turismo hacia un modelo mas sostenible. Los proyectos incluidos en el Plan incorporan las tendencias, mejores practicas empresariales y nuevas normativas en los tres ambitos de la sostenibilidad (medioambiental, social y gobernanza) con el fin de reforzar la orientacion de Paradores en su politica de compatibilizar la proteccion del medioambiente y la biodiversidad, el desarrollo social y la buena gestion de los recursos con la rentabilidad empresarial. El Plan de Sostenibilidad, gracias a la incorporacion de las nuevas tendencias, desafios y normativa, y a la financiacion de los fondos Next Generation, significa un importante avance en las politicas de responsabilidad corporativa iniciadas por la compania en 2018. ",sostenibilidad,0.7840168682857255
8053,news40867,https://www.caixabank.com/comunicacion/noticia/caixabank-crea-la-nueva-direccion-de-riesgo-climatico_es.html?id=43611,2022-07-15,2022-07-30,CaixaBank crea la nueva Direccion de Riesgo Climatico,"* La nueva direccion se encargara de coordinar el despliegue de la gestion y analisis de los riesgos climaticos y medioambientales de acuerdo con el creciente marco regulatorio, las recomendaciones del Task Force on Climate- related Financial Disclosures (TCFD) y las directrices sobre la presentacion de informes no financieros de la Comision Europea. * La Direccion de Sostenibilidad cuenta actualmente con cinco grandes areas, como son Estrategia y Seguimiento de Sostenibilidad, dirigida por Severiano Solana; Riesgos de Sostenibilidad, liderada por Xavier Fortuny; Coordinacion de Productos y Negocios Sostenibles, encabezada por Alvaro Colino; Comunicacion ESG, dirigida por Javier Tome, y Riesgo Climatico, a cargo de Stefan Rodia Garcia-Petit. * CaixaBank ha decidido crear esta nueva direccion para impulsar el compromiso con la descarbonizacion de la propia actividad y sus clientes a traves de un modelo de negocio y gestion sostenible que tiene el riesgo climatico incorporado en su analisis de las operaciones. Tras la fusion de CaixaBank y Bankia, la entidad financiera lider en Espana decidio apostar por la sostenibilidad como elemento imprescindible en su evolucion. Tanto es asi que, dentro de la Direccion de Sostenibilidad, dirigida por Eugenio Solla, CaixaBank acaba de crear la nueva Direccion de Riesgo Climatico. Este cambio en la estructura refuerza la apuesta del banco por la sostenibilidad, que es uno de los pilares del nuevo Plan Estrategico 2022-2024, en beneficio del desarrollo economico y social sostenibles. La Direccion de Riesgo Climatico se encargara de coordinar el despliegue de la gestion y analisis de los riesgos climaticos y medioambientales de acuerdo con el creciente marco regulatorio, las recomendaciones del Task Force on Climate-related Financial Disclosures (TCFD) y las directrices sobre la presentacion de informes no financieros de la Comision Europea. De esta manera, la nueva direccion de Riesgo Climatico, a cargo de Stefan Rodia Garcia-Petit, se situa al mismo nivel que las otras cuatro ya existentes, que son Estrategia y Seguimiento de Sostenibilidad, dirigida por Severiano Solana; Riesgos de Sostenibilidad, liderada por Xavier Fortuny; Coordinacion de Productos y Negocios Sostenibles, encabezada por Alvaro Colino, y Comunicacion ESG, dirigida por Javier Tome. Actualmente, la Direccion de Sostenibilidad cuenta con 30 profesionales que trabajan para impulsar la sostenibilidad de manera transversal con todas las areas del banco. Descarbonizacion como elemento central de la nueva direccion La sostenibilidad esta transformando la cultura empresarial y los propios modelos de negocio de las companias. De hecho, es una palanca transformadora de la economia, a traves del equilibrio social y el cuidado medioambiental y climatico. Por este motivo, en CaixaBank la sostenibilidad ha adquirido un papel protagonista transversal que esta vinculado al negocio y se va desplegando a toda la actividad y productos y servicios del banco. Uno de los elementos centrales e inmediatos para acercar a la entidad a los objetivos marcados por Naciones Unidas es el trabajo por la descarbonizacion, proceso progresivo e imprescindible para la reduccion de las emisiones de CO2 hasta conseguir que sean netas nulas en 2050. Para dar respuesta al desafio global que supone la lucha contra el cambio climatico, la descarbonizacion implica multitud de cambios de habito de consumo diarios. Las principales implicadas son las empresas, que tienen ante si un reto de transformacion de los modelos de negocio para adaptar su actividad desarrollando modelos neutros en carbono. Para alcanzar este objetivo se han creado y adquirido diferentes compromisos internacionales, como la 'Carrera hacia las emisiones cero', de Naciones Unidas, y alianzas empresariales, entre las que destaca la Net Zero Banking Alliance , de la que CaixaBank es miembro fundador, que aceleran este impulso. Ante este escenario, CaixaBank ha apostado por asumir su responsabilidad de acompanar a sus clientes desarrollando estrategias ambientales y climaticas complejas que requieren grandes inyecciones de capital, gracias a su papel protagonista en la canalizacion de capital y de recursos economicos en Espana, que da un especial protagonismo a la entidad financiera para reorientar la financiacion y la inversion con una finalidad sostenible. Este asesoramiento tambien establece restricciones a la financiacion de sectores intensivos en emisiones de carbono y al cumplimiento de determinadas condiciones, como la existencia de objetivos concretos y alcanzables de descarbonizacion alineados con el Acuerdo de Paris. No obstante, se podran financiar excepcionalmente actividades en sectores de determinados paises en los que la transicion energetica pueda resultar particularmente compleja o tener un impacto social adverso significativo. Por todo ello, CaixaBank ha decidido crear una nueva direccion de riesgo climatico, que impulsara el compromiso con la descarbonizacion de la propia actividad y sus clientes a traves de un modelo de negocio y gestion sostenible que tiene el riesgo climatico incorporado en su analisis de clientes y operaciones. Ademas de afrontar este reto global, supone una extraordinaria oportunidad global de negocio y de crecimiento economico. Segun la Agencia Internacional de Energias Renovables, la transicion a energias renovables puede suponer mas de 130 billones de dolares de inversion a 2050 para alcanzar los objetivos net zero . CaixaBank, referente europeo en sostenibilidad Las iniciativas de CaixaBank en sostenibilidad se centran en impulsar la transicion energetica de las empresas y del conjunto de la sociedad, mediante, entre otros, el desarrollo de soluciones para particulares con foco en movilidad y vivienda sostenible, y el fomento de las inversiones con criterios ASG (ambientales, sociales y de gobernanza). En el marco del nuevo Plan Estrategico 2022-2024, CaixaBank tiene como objetivo movilizar 64.000 millones de euros en financiacion sostenible, a traves del impulso de varias iniciativas centradas en la oferta de productos, el asesoramiento ASG, la concienciacion y la formacion. CaixaBank es la entidad lider en financiacion sostenible en Europa durante el primer semestre de 2022, segun la clasificacion de Refinitiv , que situa al banco en la primera posicion del ranking EMEA Top Tier Green & ESG-Linked Loans . ",sostenibilidad,0.7824371408927884
9093,news44932,https://www.bbva.com/es/ar/sostenibilidad/bbva-lanza-la-segunda-etapa-de-la-campana-modalidad-sostenible/,2022-07-30,2022-08-14,BBVA lanza la segunda etapa de la campana Modalidad Sostenible,"BBVA en Argentina presento la segunda etapa de Modalidad Sostenible , una campana institucional que tiene como objetivo concientizar sobre el cuidado del medioambiente , y asesorar y acompanar a las personas en la transicion hacia un futuro mas verde e inclusivo. La campana bajo el claim ""diferentes acciones para un unico modo de hacer las cosas. BBVA en Modalidad Sostenible"" se enmarca en el compromiso global de BBVA, que ha situado a la sostenibilidad en el centro de su negocio, convirtiendola en una de sus seis prioridades estrategicas . Dirigida a clientes, colaboradores, accionistas y la comunidad en general, se trata de una forma de comunicar novedosa, ya que no se centra en afirmar una identidad sostenible, sino que narra las acciones de la entidad financiera a la hora de llevar adelante ese compromiso. Cuenta que y como lo hace. Ademas de las graficas que explican como BBVA esta en continuo movimiento, involucrada, siempre en modo 'on', da sustento a ""como"" ese modo On se activa. Entre otras cosas, cuales son las acciones que muestran que el banco esta en modalidad sostenible. BBVA en Argentina esta adherida a los Principios de Banca Responsable . El compromiso de la entidad es financiar y disenar los servicios financieros necesarios para impulsar la transicion de sus clientes hacia una economia sostenible. A la hora de abordar la sostenibilidad , BBVA fomenta la eficiencia energetica , la economia circular y la descarbonizacion de la economia , pero no solo eso. Tambien hace foco en el crecimiento inclusivo, movilizando inversiones hacia infraestructuras inclusivas. Ademas, a nivel local, forma parte del Protocolo de Finanzas Sostenibles junto a los principales bancos del pais. El objetivo es trabajar en conjunto para incorporar politicas, practicas y procesos de sostenibilidad en la industria financiera. ",sostenibilidad,0.7672323857397023
13897,news63620,https://noticias.mapfre.com/mapfre-indice-internacional-sostenibilidad-ftse4good/,2022-07-15,2022-07-30,MAPFRE cumple 16 anos en indice de sostenibilidad ...,"En 2022, MAPFRE ha vuelto a ser incluida en el indice de sostenibilidad, Financial Times Stock Exchange (FTSE) 4Good, donde ha o btenido un 20% mas de puntuacion que la media de todas las companias del sector asegurador que han sido analizadas en este indice. Vuelve a figurar, por decimosexto ano consecutivo , en uno de los barometros internacionales mas importantes que miden el desempeno de las empresas en materia de sostenibilidad, y con el que se reconoce la excelencia de la compania en gestion medioambiental, social y de gobierno corporativo. Las empresas que conforman esta referencia, elaborada por el grupo FTSE Russell, cumplen con unos criterios muy exigentes de buenas practicas de sostenibilidad, totalmente transparentes y de dominio publico . El FTSE4Good esta disenado para ayudar a los inversores a integrar criterios ambientales, sociales y de gobierno corporativo en sus decisiones de inversion. Un plan integrado en el negocio El Grupo ha presentado recientemente su Plan de Sostenibilidad 2022- 2024 para hacer frente a los retos sociales y medioambientales globales . Lo aborda con compromisos exigentes en materia social y ambiental, con servicios y productos alineados con ellos y con un gobierno corporativo que le permita continuar avanzando responsablemente. El plan incluye mas de 20 objetivos para, entre otros compromisos, alcanzar la neutralidad en carbono en 2030, lograr el 3,5% de personas con discapacidad en la plantilla, disponer de una red de proveedores 100% sostenibles; y no invertir en companias de carbon, gas y petroleo que no esten comprometidas con un plan de transicion energetico. ",sostenibilidad,0.7663247950797908
20564,news89178,https://100seguro.com.ar/mapfre-cumple-16-anos-en-el-indice-internacional-de-sostenibilidad-ftse4good/,2022-07-15,2022-07-30,MAPFRE cumple 16 anos en el indice internacional de ...,"En 2022, MAPFRE ha vuelto a ser incluida en el indice de sostenibilidad, Financial Times Stock Exchange (FTSE) 4Good, donde ha obtenido un 20% mas de puntuacion que la media de todas las companias del sector asegurador que han sido analizadas en este indice. Vuelve a figurar, por decimosexto ano consecutivo , en uno de los barometros internacionales mas importantes que miden el desempeno de las empresas en materia de sostenibilidad, y con el que se reconoce la excelencia de la compania en gestion medioambiental, social y de gobierno corporativo. Las empresas que conforman esta referencia, elaborada por el grupo FTSE Russell, cumplen con unos criterios muy exigentes de buenas practicas de sostenibilidad, totalmente transparentes y de dominio publico. El FTSE4Good esta disenado para ayudar a los inversores a integrar criterios ambientales, sociales y de gobierno corporativo en sus decisiones de inversion. Un plan integrado en el negocio El Grupo ha presentado recientemente su Plan de Sostenibilidad 2022- 2024 para hacer frente a los retos sociales y medioambientales globales . Lo aborda con compromisos exigentes en materia social y ambiental, con servicios y productos alineados con ellos y con un gobierno corporativo que le permita continuar avanzando responsablemente. El plan incluye mas de 20 objetivos para, entre otros compromisos, alcanzar la neutralidad en carbono en 2030, lograr el 3,5% de personas con discapacidad en la plantilla, disponer de una red de proveedores 100% sostenibles; y no invertir en companias de carbon, gas y petroleo que no esten comprometidas con un plan de transicion energetico. ",sostenibilidad,0.7654757075128001
10516,news50664,https://www.elperiodicomediterraneo.com/castello-provincia/2022/07/27/ube-alia-bbva-financiar-proyectos-sostenibilidad-71877995.html,2022-07-15,2022-07-30,UBE se alia con BBVA para financiar proyectos de sostenibilidad,"Con esta financiacion, UBE Corporation Europe busca minimizar al maximo el impacto ambiental de su actividad, reduciendo sus emisiones de gases de efecto invernadero a la atmosfera y mejorando su eficiencia energetica en sus plantas productivas. Estas mejoras tienen como principal objetivo alinear la actividad de la empresa con los objetivos globales de toda la sociedad en la lucha contra el cambio climatico. Esta nueva operacion de financiacion se ha firmado bajo el formato ""Sustainability Linked Loan (SLL)"", cuyo tipo de interes se encuentra ligado a la evolucion de parametros de sostenibilidad de la empresa. De este modo, si se producen mejoras sobre su evaluacion de sostenibilidad inicial, se reduce el tipo de interes del prestamo. ""BBVA proporciona soluciones innovadoras a sus clientes para ayudarles en la transicion a una economia baja en carbono y promoviendo una financiacion sostenible. Con esta operacion queremos acompanar a UBE en su apuesta por la sostenibilidad"", afirmo Carlos Rodriguez Escudero , director Regional Este de BBVA durante el acto de la firma. ""Contamos con un plan de inversiones para el trienio 2022-24 de unos 90 millones de euros, de los cuales una cuarta parte se destinara a mejoras medioambientales y de seguridad. Estos proyectos son hitos intermedios imprescindibles para alcanzar la neutralidad de carbono en 2050, objetivo sobre el que llevamos trabajando varios anos, y por ello valoramos la confianza que nos otorga BBVA y su vision a largo plazo"", ha declarado por su parte Bruno De Bievre, presidente de UBE Corporation Europe. ",sostenibilidad,0.7645089756426333
17452,news77193,https://www.prisa.com/es/noticias/notas-de-prensa/prisa-colabora-con-foretica-en-el-cluster-de-transparencia-buen-gobierno-e-integridad,2022-07-15,2022-07-30,PRISA colabora con Foretica en el Cluster de Transparencia ...,"PRISA continua con su firme compromiso con la sostenibilidad apoyando la 7a edicion del Cluster de Transparencia, Buen Gobierno e Integridad liderado por Foretica. En su segunda reunion, el cluster analizo las principales novedades en materia de reporte de sostenibilidad y transparencia, asi como el impacto que tendran las nuevas regulaciones y estandares en las empresas y en el proceso de reporte en materia ESG (ambiental, social y de gobernanza). En concreto, el encuentro abordo las implicaciones de la proxima Directiva sobre Reporte de Sostenibilidad, que afectara a mas de 50.000 companias europeas, entre otros asuntos. Esta nueva regulacion europea, que sustituira a la Directiva de Informacion no Financiera, pretende homogeneizar y estandarizar el reporte de sostenibilidad de las organizaciones, con el objetivo de que esta informacion sea util tanto para inversores como para otros grupos de interes. Con la aprobacion de la nueva Directiva, se amplia el ambito de aplicacion de la actual (que afecta aproximadamente 11.700 empresas), pasando a obligar a todas las grandes empresas y a las empresas cotizadas. El Cluster de Transparencia, Buen Gobierno e Integridad, liderado por Foretica esta compuesto por mas de 60 grandes empresas espanolas y tiene el objetivo abordar distintas tematicas relacionadas con la gestion de los aspectos ESG, trasladando las principales tendencias en esta materia y sirviendo como punto de encuentro en el que las empresas puedan dialogar e intercambiar conocimiento. El Cluster de Transparencia, Buen Gobierno e Integridad en 2022 esta encabezado por CaixaBank, Cuatrecasas, Grupo Cooperativo Cajamar y Leroy Merlin. Ademas de PRISA tambien participan Accenture, Adif, Agbar, Airbus, Alsea, AstraZeneca, Atresmedia, Capital Energy, Cecabank, Cellnex, Cerealto Siro, CIE Automotive, Damm, Ecoembes, EDP, El Corte Ingles, Enagas, ENAIRE, Endesa, Engie, Enresa, Ferrovial, Gestamp, Grifols, Grupo Antolin, Grupo ASISA, GSK, HEINEKEN, Ibercaja, Iberdrola, ILUNION, ICO, ISS, KPMG, Kyndryl, LafargeHolcim, Lilly, L'Oreal, Mahou San Miguel, Mapfre, Mazars, Mediaset Espana, Mercadona, MSD, Mutua Madrilena, Mutualidad de la Abogacia, Naturgy, Navantia, OHLA, P&G;, Reale Seguros, Redeia, Sacyr, Sanitas, SAP, Solarpack, TUV Rheinland y Vodafone. PRISA y su apuesta por la sostenibilidad PRISA colabora con Foretica en numerosos observatorios dentro de su estrategia de sostenibilidad, uno de los pilares de crecimiento y desarrollo del Grupo. A comienzo de ano la compania nombro a Rosa Junquera directora de Sostenibilidad despues de que la empresa anunciara la creacion de la Comision de Sostenibilidad en el seno del Consejo de Administracion con el objetivo de impulsar de forma decidida la estrategia de la compania alineando toda la gestion de la organizacion con los Objetivos de Desarrollo Sostenible de Naciones Unidas e incorporando criterios ESG en su estrategia financiera. El Grupo tiene definidos cinco ODS como prioritarios, en los que contribuye de manera especifica dando visibilidad a traves de sus medios y a traves de la labor divulgativa de Santillana Latinoamerica: la educacion de calidad (ODS 4), la igualdad de genero (ODS 5), el trabajo decente y el crecimiento economico (ODS 8), la accion por el clima (ODS 13) y la lucha por la paz, la justicia y unas instituciones solidas (ODS 16). PRISA se adhirio al Pacto Mundial de Naciones Unidas en 2008, se incorporo como socio en 2013 y forma parte del comite ejecutivo en Espana desde 2016. ",sostenibilidad,0.7642622057850816
17100,news75896,https://www.visionsustentable.com/2022/08/12/cambio-climatico-y-finanzas-ejes-del-primer-evento-sobre-sostenibilidad-organizado-por-bbva-en-argentina/,2022-07-30,2022-08-14,"Cambio climatico y finanzas, ejes del Primer Evento sobre ...","BBVA en Argentina organizo el primer evento de sostenibilidad ""Por un futuro mas verde e inclusivo"". En el mismo participaron tres representantes de la entidad: Martin Zarich , presidente ejecutivo, Hernan Carboni , director de Relaciones Institucionales, y Oscar Gemignani , gerente de Sostenibilidad y Partners. La apertura del evento estuvo a cargo de Zarich, quien analizo el impacto de ofrecer a los clientes productos financieros sostenibles que generan un cambio positivo para la sociedad. Estas acciones, explico, nacen del compromiso de BBVA con la sostenibilidad, una de sus prioridades estrategicas. Luego tomo la palabra, Mauricio Saldivar , meteorologo argentino y divulgador cientifico. Explico los riesgos sociales, culturales y economicos que atravesara el mundo si no se fomenta el compromiso con la disminucion del cambio climatico. ""Tenemos que llamar a la accion contra los cambios que se estan dando en el ambiente porque no tenemos un planeta B"" , resalto. En el panel ""El valor de las Finanzas para la transicion hacia economias bajas en carbono"", Hernan Carboni afirmo que los bancos tienen un rol preponderante a la hora de pensar un futuro mas verde e inclusivo. ""En la sociedad hay demanda y compromiso con la sostenibilidad, y por eso hay una oportunidad"", explico. Junto a el se encontraba el director ejecutivo de CEADS , Sebastian Bigorito , quien anadio que el unico modelo de desarrollo posible es el sostenible. ""Las empresas que no tienen proyectos sostenibles pierden la conexion con sus inversores"" afirmo. Julieta Artal Conte , responsable de gobierno corporativo y sustentabilidad en BYMA y directora del Instituto Argentino de Mercado de Capitales , sostuvo que el mundo financiero esta demandando que las empresas tengan proyectos sostenibles. ",sostenibilidad,0.7611882222685101
