,logreg_categoria,news_url_absolute
17989,regulaciones,http://www.diputados.gov.py/index.php/noticias/buscan-crear-un-marco-legal-para-inversiones-y-colocaciones-financieras-del-ips
11686,reputacion,https://www.elmundo.es/economia/macroeconomia/2022/08/05/62ecf80021efa0db418b457c.html
3108,reputacion,https://actualicese.com/recibe-34-anexos-en-excel-y-word-con-nuestro-libro-blanco-sobre-contratacion-laboral-en-colombia/
4407,reputacion,https://www.meganoticias.cl/nacional/384209-regreso-a-clases-segundo-semestre-ministro-educacion-marco-antonio-avila-25-07-2022.html
14555,regulaciones,https://efeagro.com/coag-upa-valoran-visto-bueno-europa-plan-estrategico-pac-espana/
3995,reputacion,https://www.lavozdeasturias.es/noticia/sporting1905/2022/07/17/sporting-b-fichara-grabulosa/00031658058252374749141.htm
2217,reputacion,https://fuelcarmagazine.com/noticias/tuning/este-es-el-rtr-mustang-spec-5-de-750-hp-una-alternativa-al-shelby-gt500/
8552,reputacion,https://www.lavozdegalicia.es/noticia/coruna/betanzos/2022/08/06/avanza-recuperacion-convento-as-donas-betanzos/00031659780529090564125.htm
14418,reputacion,https://www.elmundo.es/economia/2022/08/10/62f38f92e4d4d8165f8b4594.html
17046,reputacion,https://www.europapress.es/illes-balears/noticia-cs-abstiene-acuerdo-mac-insular-porque-contrato-concesion-alarga-tres-anos-20220728131532.html
11114,reputacion,https://www.lavozdegalicia.es/noticia/somosagro/forestal/2022/07/23/trabajadores-ence-pontevedra-rechazan-erte-anunciado-empresa-tras-parar-sequia/00031658572241160699757.htm
19291,reputacion,https://www.ambito.com/economia/importaciones/guino-flexibilizan-pero-sigue-la-preocupacion-semaforo-validador-n5492131
19308,reputacion,https://www.ambito.com/reservas-analistas-preven-mejoras-las-arcas-del-bcra-pero-advierten-el-frente-cambiario-n5507329
22859,reputacion,https://www.ambito.com/negocios/autos/nissan-amplia-su-produccion-su-fabrica-santa-isabel-n5492498
22655,reputacion,https://elmeridiano.co/gestar-salud-de-colombia-ips-promueve-la-lactancia-materna/
18665,reputacion,https://www.univision.com/local/los-angeles-kmex/control-rentas-desalojos-ciudades-california-fotos
10451,reputacion,https://www.admagazine.com/articulos/feng-shui-que-es-el-mapa-bagua-y-como-lo-puedes-usar-en-tu-casa
10015,reputacion,https://www.efe.com/efe/america/mexico/presidente-de-mexico-promete-trabajar-hasta-rescatar-a-10-mineros-atrapados/50000545-4862729
20284,reputacion,https://www.efe.com/efe/espana/cultura/daddy-yankee-dice-adios-a-espana-con-ritmo-latino-en-su-ultima-vuelta/10005-4852045
